Time Step #,Time(s),"Position (North, metres)","Position (East, metres)",Altitude (metres),"Velocity (North, m/s)","Velocity (East, m/s)","Velocity (Up, m/s)","Acceleration (North, m/s2)","Acceleration (East, m/s2)","Acceleration (Up, m/s2)"
1302,65.1,-7418.246,7304.699,16892.055,-106.144,103.83,41.774,0.24,-0.228,9.625
1303,65.15,-7423.553,7309.89,16889.966,-106.132,103.819,42.255,0.241,-0.228,9.624
1304,65.2,-7428.859,7315.08,16887.853,-106.12,103.808,42.736,0.241,-0.229,9.623
1305,65.25,-7434.165,7320.27,16885.716,-106.108,103.796,43.218,0.241,-0.229,9.622
1306,65.3,-7439.469,7325.459,16883.555,-106.096,103.785,43.699,0.241,-0.229,9.621
1307,65.35,-7444.774,7330.648,16881.37,-106.084,103.773,44.18,0.242,-0.229,9.62
1308,65.4,-7450.077,7335.836,16879.161,-106.072,103.762,44.66,0.242,-0.229,9.619
1309,65.45,-7455.38,7341.023,16876.928,-106.06,103.75,45.141,0.242,-0.23,9.618
1310,65.5,-7460.683,7346.21,16874.671,-106.048,103.739,45.622,0.242,-0.23,9.617
1311,65.55,-7465.984,7351.397,16872.39,-106.036,103.727,46.103,0.243,-0.23,9.616
1312,65.6,-7471.285,7356.583,16870.085,-106.023,103.716,46.584,0.243,-0.23,9.615
1313,65.65,-7476.586,7361.768,16867.756,-106.011,103.704,47.064,0.243,-0.23,9.614
1314,65.7,-7481.886,7366.952,16865.403,-105.999,103.693,47.545,0.244,-0.231,9.613
1315,65.75,-7487.185,7372.136,16863.025,-105.987,103.681,48.026,0.244,-0.231,9.611
1316,65.8,-7492.484,7377.32,16860.624,-105.975,103.67,48.506,0.244,-0.231,9.61
1317,65.85,-7497.782,7382.503,16858.199,-105.962,103.658,48.987,0.245,-0.231,9.609
1318,65.9,-7503.08,7387.685,16855.75,-105.95,103.646,49.467,0.245,-0.231,9.608
1319,65.95,-7508.377,7392.867,16853.276,-105.938,103.635,49.947,0.245,-0.232,9.607
1320,66.0,-7513.673,7398.048,16850.779,-105.926,103.623,50.428,0.246,-0.232,9.606
1321,66.05,-7518.969,7403.229,16848.257,-105.913,103.612,50.908,0.246,-0.232,9.605
1322,66.1,-7524.264,7408.409,16845.712,-105.901,103.6,51.388,0.246,-0.232,9.604
1323,66.15,-7529.558,7413.588,16843.143,-105.889,103.588,51.868,0.247,-0.233,9.603
1324,66.2,-7534.852,7418.767,16840.549,-105.876,103.577,52.348,0.247,-0.233,9.602
1325,66.25,-7540.145,7423.945,16837.932,-105.864,103.565,52.828,0.247,-0.233,9.6
1326,66.3,-7545.438,7429.123,16835.29,-105.852,103.553,53.308,0.248,-0.233,9.599
1327,66.35,-7550.73,7434.3,16832.625,-105.839,103.542,53.788,0.248,-0.234,9.598
1328,66.4,-7556.021,7439.476,16829.936,-105.827,103.53,54.268,0.248,-0.234,9.597
1329,66.45,-7561.312,7444.652,16827.222,-105.814,103.518,54.748,0.249,-0.234,9.596
1330,66.5,-7566.602,7449.828,16824.485,-105.802,103.507,55.228,0.249,-0.235,9.595
1331,66.55,-7571.891,7455.002,16821.723,-105.79,103.495,55.707,0.249,-0.235,9.594
1332,66.6,-7577.18,7460.177,16818.938,-105.777,103.483,56.187,0.25,-0.235,9.592
1333,66.65,-7582.468,7465.35,16816.129,-105.765,103.471,56.666,0.25,-0.235,9.591
1334,66.7,-7587.756,7470.523,16813.295,-105.752,103.46,57.146,0.25,-0.236,9.59
1335,66.75,-7593.043,7475.695,16810.438,-105.739,103.448,57.625,0.251,-0.236,9.589
1336,66.8,-7598.329,7480.867,16807.557,-105.727,103.436,58.105,0.251,-0.236,9.588
1337,66.85,-7603.615,7486.038,16804.652,-105.714,103.424,58.584,0.251,-0.236,9.586
1338,66.9,-7608.9,7491.209,16801.722,-105.702,103.412,59.063,0.252,-0.237,9.585
1339,66.95,-7614.185,7496.379,16798.769,-105.689,103.4,59.543,0.252,-0.237,9.584
1340,67.0,-7619.468,7501.549,16795.792,-105.677,103.389,60.022,0.253,-0.237,9.583
1341,67.05,-7624.752,7506.717,16792.791,-105.664,103.377,60.501,0.253,-0.237,9.582
1342,67.1,-7630.034,7511.886,16789.766,-105.651,103.365,60.98,0.253,-0.238,9.58
1343,67.15,-7635.316,7517.053,16786.717,-105.639,103.353,61.459,0.254,-0.238,9.579
1344,67.2,-7640.597,7522.22,16783.644,-105.626,103.341,61.938,0.254,-0.238,9.578
1345,67.25,-7645.878,7527.387,16780.547,-105.613,103.329,62.416,0.254,-0.239,9.577
1346,67.3,-7651.158,7532.553,16777.426,-105.6,103.317,62.895,0.255,-0.239,9.575
1347,67.35,-7656.437,7537.718,16774.282,-105.588,103.305,63.374,0.255,-0.239,9.574
1348,67.4,-7661.716,7542.883,16771.113,-105.575,103.293,63.853,0.255,-0.239,9.573
1349,67.45,-7666.994,7548.047,16767.92,-105.562,103.281,64.331,0.256,-0.24,9.572
1350,67.5,-7672.272,7553.21,16764.704,-105.549,103.269,64.81,0.256,-0.24,9.57
1351,67.55,-7677.549,7558.373,16761.463,-105.536,103.257,65.288,0.257,-0.24,9.569
1352,67.6,-7682.825,7563.535,16758.199,-105.524,103.245,65.767,0.257,-0.241,9.568
1353,67.65,-7688.1,7568.697,16754.91,-105.511,103.233,66.245,0.257,-0.241,9.567
1354,67.7,-7693.375,7573.858,16751.598,-105.498,103.221,66.723,0.258,-0.241,9.565
1355,67.75,-7698.649,7579.018,16748.262,-105.485,103.209,67.201,0.258,-0.241,9.564
1356,67.8,-7703.923,7584.178,16744.902,-105.472,103.197,67.679,0.258,-0.242,9.563
1357,67.85,-7709.196,7589.337,16741.518,-105.459,103.185,68.158,0.259,-0.242,9.561
1358,67.9,-7714.468,7594.496,16738.11,-105.446,103.173,68.636,0.259,-0.242,9.56
1359,67.95,-7719.74,7599.654,16734.678,-105.433,103.161,69.113,0.26,-0.243,9.559
1360,68.0,-7725.011,7604.812,16731.223,-105.42,103.148,69.591,0.26,-0.243,9.557
1361,68.05,-7730.281,7609.968,16727.743,-105.407,103.136,70.069,0.26,-0.243,9.556
1362,68.1,-7735.551,7615.125,16724.24,-105.394,103.124,70.547,0.261,-0.244,9.555
1363,68.15,-7740.82,7620.28,16720.712,-105.381,103.112,71.025,0.261,-0.244,9.553
1364,68.2,-7746.088,7625.435,16717.161,-105.368,103.1,71.502,0.262,-0.244,9.552
1365,68.25,-7751.356,7630.59,16713.586,-105.355,103.087,71.98,0.262,-0.245,9.551
1366,68.3,-7756.623,7635.743,16709.987,-105.342,103.075,72.457,0.262,-0.245,9.549
1367,68.35,-7761.89,7640.896,16706.364,-105.329,103.063,72.935,0.263,-0.245,9.548
1368,68.4,-7767.155,7646.049,16702.717,-105.315,103.051,73.412,0.263,-0.246,9.547
1369,68.45,-7772.421,7651.201,16699.047,-105.302,103.038,73.889,0.264,-0.246,9.545
1370,68.5,-7777.685,7656.352,16695.352,-105.289,103.026,74.366,0.264,-0.246,9.544
1371,68.55,-7782.949,7661.503,16691.634,-105.276,103.014,74.843,0.265,-0.247,9.542
1372,68.6,-7788.212,7666.653,16687.892,-105.263,103.001,75.32,0.265,-0.247,9.541
1373,68.65,-7793.474,7671.802,16684.126,-105.249,102.989,75.797,0.265,-0.247,9.539
1374,68.7,-7798.736,7676.951,16680.336,-105.236,102.977,76.274,0.266,-0.248,9.538
1375,68.75,-7803.997,7682.099,16676.522,-105.223,102.964,76.751,0.266,-0.248,9.536
1376,68.8,-7809.258,7687.247,16672.685,-105.209,102.952,77.228,0.267,-0.249,9.535
1377,68.85,-7814.518,7692.394,16668.823,-105.196,102.939,77.705,0.267,-0.249,9.534
1378,68.9,-7819.777,7697.54,16664.938,-105.183,102.927,78.181,0.268,-0.249,9.532
1379,68.95,-7825.035,7702.686,16661.029,-105.169,102.914,78.658,0.268,-0.25,9.531
1380,69.0,-7830.293,7707.831,16657.096,-105.156,102.902,79.134,0.269,-0.25,9.529
1381,69.05,-7835.55,7712.976,16653.139,-105.142,102.889,79.611,0.269,-0.25,9.528
1382,69.1,-7840.807,7718.12,16649.159,-105.129,102.877,80.087,0.27,-0.251,9.526
1383,69.15,-7846.062,7723.263,16645.155,-105.115,102.864,80.563,0.27,-0.251,9.525
1384,69.2,-7851.317,7728.405,16641.126,-105.102,102.852,81.039,0.271,-0.252,9.523
1385,69.25,-7856.572,7733.547,16637.074,-105.088,102.839,81.515,0.271,-0.252,9.522
1386,69.3,-7861.826,7738.689,16632.999,-105.075,102.826,81.991,0.272,-0.252,9.52
1387,69.35,-7867.079,7743.829,16628.899,-105.061,102.814,82.467,0.272,-0.253,9.519
1388,69.4,-7872.331,7748.969,16624.776,-105.047,102.801,82.943,0.272,-0.253,9.517
1389,69.45,-7877.583,7754.109,16620.629,-105.034,102.788,83.419,0.273,-0.254,9.516
1390,69.5,-7882.834,7759.248,16616.458,-105.02,102.776,83.895,0.273,-0.254,9.514
1391,69.55,-7888.084,7764.386,16612.263,-105.006,102.763,84.37,0.274,-0.254,9.512
1392,69.6,-7893.334,7769.523,16608.044,-104.993,102.75,84.846,0.274,-0.255,9.511
1393,69.65,-7898.583,7774.66,16603.802,-104.979,102.738,85.321,0.275,-0.255,9.509
1394,69.7,-7903.831,7779.796,16599.536,-104.965,102.725,85.797,0.275,-0.255,9.508
1395,69.75,-7909.078,7784.932,16595.246,-104.951,102.712,86.272,0.276,-0.256,9.506
1396,69.8,-7914.325,7790.067,16590.933,-104.938,102.699,86.747,0.276,-0.256,9.505
1397,69.85,-7919.571,7795.201,16586.595,-104.924,102.686,87.222,0.277,-0.257,9.503
1398,69.9,-7924.817,7800.335,16582.234,-104.91,102.674,87.697,0.277,-0.257,9.502
1399,69.95,-7930.062,7805.468,16577.849,-104.896,102.661,88.172,0.278,-0.257,9.5
1400,70.0,-7935.306,7810.6,16573.441,-104.882,102.648,88.647,0.278,-0.258,9.498
1401,70.05,-7940.549,7815.732,16569.008,-104.868,102.635,89.122,0.279,-0.258,9.497
1402,70.1,-7945.792,7820.863,16564.552,-104.854,102.622,89.597,0.279,-0.259,9.495
1403,70.15,-7951.034,7825.994,16560.072,-104.84,102.609,90.072,0.279,-0.259,9.494
1404,70.2,-7956.275,7831.123,16555.569,-104.826,102.596,90.546,0.28,-0.259,9.492
1405,70.25,-7961.516,7836.253,16551.041,-104.812,102.583,91.021,0.28,-0.26,9.49
1406,70.3,-7966.756,7841.381,16546.49,-104.798,102.57,91.495,0.281,-0.26,9.489
1407,70.35,-7971.995,7846.509,16541.916,-104.784,102.557,91.969,0.281,-0.261,9.487
1408,70.4,-7977.234,7851.636,16537.317,-104.77,102.544,92.444,0.282,-0.261,9.485
1409,70.45,-7982.471,7856.763,16532.695,-104.756,102.531,92.918,0.282,-0.261,9.484
1410,70.5,-7987.708,7861.889,16528.049,-104.742,102.518,93.392,0.283,-0.262,9.482
1411,70.55,-7992.945,7867.014,16523.38,-104.728,102.505,93.866,0.283,-0.262,9.48
1412,70.6,-7998.18,7872.138,16518.686,-104.713,102.492,94.34,0.284,-0.263,9.479
1413,70.65,-8003.415,7877.262,16513.969,-104.699,102.478,94.814,0.285,-0.263,9.477
1414,70.7,-8008.65,7882.386,16509.229,-104.685,102.465,95.288,0.285,-0.264,9.475
1415,70.75,-8013.883,7887.508,16504.464,-104.671,102.452,95.761,0.286,-0.264,9.473
1416,70.8,-8019.116,7892.63,16499.676,-104.656,102.439,96.235,0.286,-0.265,9.472
1417,70.85,-8024.348,7897.751,16494.864,-104.642,102.426,96.708,0.287,-0.265,9.47
1418,70.9,-8029.579,7902.872,16490.029,-104.628,102.412,97.182,0.287,-0.266,9.468
1419,70.95,-8034.81,7907.992,16485.17,-104.613,102.399,97.655,0.288,-0.266,9.466
1420,71.0,-8040.04,7913.111,16480.287,-104.599,102.386,98.128,0.288,-0.266,9.464
1421,71.05,-8045.269,7918.23,16475.381,-104.584,102.372,98.601,0.289,-0.267,9.463
1422,71.1,-8050.498,7923.348,16470.451,-104.57,102.359,99.074,0.29,-0.267,9.461
1423,71.15,-8055.726,7928.465,16465.497,-104.555,102.346,99.547,0.29,-0.268,9.459
1424,71.2,-8060.953,7933.582,16460.52,-104.541,102.332,100.02,0.291,-0.268,9.457
1425,71.25,-8066.179,7938.698,16455.519,-104.526,102.319,100.493,0.291,-0.269,9.455
1426,71.3,-8071.405,7943.813,16450.494,-104.512,102.305,100.966,0.292,-0.269,9.453
1427,71.35,-8076.629,7948.927,16445.446,-104.497,102.292,101.438,0.292,-0.27,9.452
1428,71.4,-8081.853,7954.041,16440.374,-104.482,102.278,101.911,0.293,-0.27,9.45
1429,71.45,-8087.077,7959.155,16435.278,-104.468,102.265,102.383,0.294,-0.271,9.448
1430,71.5,-8092.3,7964.267,16430.159,-104.453,102.251,102.855,0.294,-0.271,9.446
1431,71.55,-8097.521,7969.379,16425.016,-104.438,102.237,103.328,0.295,-0.272,9.444
1432,71.6,-8102.743,7974.49,16419.85,-104.424,102.224,103.8,0.295,-0.273,9.442
1433,71.65,-8107.963,7979.601,16414.66,-104.409,102.21,104.272,0.296,-0.273,9.44
1434,71.7,-8113.183,7984.711,16409.446,-104.394,102.197,104.744,0.297,-0.274,9.438
1435,71.75,-8118.402,7989.82,16404.209,-104.379,102.183,105.215,0.297,-0.274,9.436
1436,71.8,-8123.62,7994.928,16398.948,-104.364,102.169,105.687,0.298,-0.275,9.435
1437,71.85,-8128.837,8000.036,16393.664,-104.349,102.155,106.159,0.298,-0.275,9.433
1438,71.9,-8134.054,8005.143,16388.356,-104.334,102.142,106.63,0.299,-0.275,9.431
1439,71.95,-8139.27,8010.249,16383.025,-104.319,102.128,107.102,0.299,-0.276,9.429
1440,72.0,-8144.485,8015.355,16377.669,-104.304,102.114,107.573,0.3,-0.276,9.427
1441,72.05,-8149.7,8020.46,16372.291,-104.289,102.1,108.044,0.3,-0.277,9.425
1442,72.1,-8154.913,8025.564,16366.889,-104.274,102.086,108.516,0.301,-0.277,9.423
1443,72.15,-8160.126,8030.668,16361.463,-104.259,102.072,108.987,0.302,-0.278,9.421
1444,72.2,-8165.339,8035.771,16356.013,-104.244,102.058,109.458,0.302,-0.278,9.419
1445,72.25,-8170.55,8040.873,16350.541,-104.229,102.044,109.928,0.303,-0.279,9.417
1446,72.3,-8175.761,8045.975,16345.044,-104.214,102.031,110.399,0.303,-0.279,9.415
1447,72.35,-8180.971,8051.076,16339.524,-104.199,102.017,110.87,0.304,-0.28,9.413
1448,72.4,-8186.18,8056.176,16333.981,-104.183,102.003,111.34,0.305,-0.28,9.411
1449,72.45,-8191.388,8061.275,16328.414,-104.168,101.988,111.811,0.305,-0.281,9.409
1450,72.5,-8196.596,8066.374,16322.823,-104.153,101.974,112.281,0.306,-0.281,9.407
1451,72.55,-8201.803,8071.472,16317.209,-104.137,101.96,112.751,0.306,-0.282,9.405
1452,72.6,-8207.009,8076.569,16311.571,-104.122,101.946,113.222,0.307,-0.283,9.403
1453,72.65,-8212.214,8081.666,16305.91,-104.107,101.932,113.692,0.308,-0.283,9.401
1454,72.7,-8217.419,8086.762,16300.226,-104.091,101.918,114.162,0.308,-0.284,9.399
1455,72.75,-8222.623,8091.857,16294.518,-104.076,101.904,114.631,0.309,-0.284,9.397
1456,72.8,-8227.826,8096.951,16288.786,-104.06,101.889,115.101,0.31,-0.285,9.395
1457,72.85,-8233.028,8102.045,16283.031,-104.045,101.875,115.571,0.31,-0.285,9.392
1458,72.9,-8238.229,8107.138,16277.253,-104.029,101.861,116.04,0.311,-0.286,9.39
1459,72.95,-8243.43,8112.23,16271.451,-104.014,101.846,116.51,0.312,-0.287,9.388
1460,73.0,-8248.63,8117.322,16265.625,-103.998,101.832,116.979,0.312,-0.287,9.386
1461,73.05,-8253.829,8122.413,16259.776,-103.982,101.818,117.448,0.313,-0.288,9.384
1462,73.1,-8259.027,8127.503,16253.904,-103.967,101.803,117.917,0.314,-0.288,9.382
1463,73.15,-8264.225,8132.593,16248.008,-103.951,101.789,118.386,0.314,-0.289,9.38
1464,73.2,-8269.422,8137.681,16242.089,-103.935,101.774,118.855,0.315,-0.29,9.377
1465,73.25,-8274.618,8142.769,16236.146,-103.92,101.76,119.324,0.316,-0.29,9.375
1466,73.3,-8279.813,8147.856,16230.18,-103.904,101.745,119.793,0.316,-0.291,9.373
1467,73.35,-8285.007,8152.943,16224.19,-103.888,101.731,120.261,0.317,-0.291,9.371
1468,73.4,-8290.201,8158.029,16218.177,-103.872,101.716,120.729,0.318,-0.292,9.368
1469,73.45,-8295.394,8163.114,16212.14,-103.856,101.702,121.198,0.318,-0.293,9.366
1470,73.5,-8300.586,8168.198,16206.081,-103.84,101.687,121.666,0.319,-0.293,9.364
1471,73.55,-8305.777,8173.282,16199.997,-103.824,101.672,122.134,0.32,-0.294,9.362
1472,73.6,-8310.967,8178.365,16193.891,-103.808,101.657,122.602,0.32,-0.294,9.359
1473,73.65,-8316.157,8183.447,16187.76,-103.792,101.643,123.07,0.321,-0.295,9.357
1474,73.7,-8321.346,8188.528,16181.607,-103.776,101.628,123.538,0.322,-0.296,9.355
1475,73.75,-8326.534,8193.609,16175.43,-103.76,101.613,124.005,0.323,-0.296,9.353
1476,73.8,-8331.721,8198.689,16169.23,-103.744,101.598,124.473,0.323,-0.297,9.35
1477,73.85,-8336.907,8203.768,16163.006,-103.727,101.583,124.94,0.324,-0.297,9.348
1478,73.9,-8342.093,8208.846,16156.759,-103.711,101.569,125.407,0.325,-0.298,9.346
1479,73.95,-8347.277,8213.924,16150.489,-103.695,101.554,125.875,0.325,-0.299,9.343
1480,74.0,-8352.461,8219.001,16144.195,-103.679,101.539,126.342,0.326,-0.299,9.341
1481,74.05,-8357.644,8224.077,16137.878,-103.662,101.524,126.809,0.327,-0.3,9.339
1482,74.1,-8362.827,8229.153,16131.538,-103.646,101.509,127.275,0.328,-0.301,9.336
1483,74.15,-8368.008,8234.227,16125.174,-103.629,101.494,127.742,0.328,-0.301,9.334
1484,74.2,-8373.189,8239.301,16118.787,-103.613,101.478,128.209,0.329,-0.302,9.331
1485,74.25,-8378.369,8244.374,16112.376,-103.597,101.463,128.675,0.33,-0.303,9.329
1486,74.3,-8383.548,8249.447,16105.942,-103.58,101.448,129.141,0.33,-0.303,9.327
1487,74.35,-8388.726,8254.518,16099.485,-103.563,101.433,129.608,0.331,-0.304,9.324
1488,74.4,-8393.903,8259.589,16093.005,-103.547,101.418,130.074,0.332,-0.305,9.322
1489,74.45,-8399.08,8264.66,16086.501,-103.53,101.402,130.54,0.333,-0.305,9.319
1490,74.5,-8404.255,8269.729,16079.974,-103.514,101.387,131.006,0.333,-0.306,9.317
1491,74.55,-8409.43,8274.797,16073.424,-103.497,101.372,131.471,0.334,-0.306,9.315
1492,74.6,-8414.604,8279.865,16066.85,-103.48,101.356,131.937,0.335,-0.307,9.312
1493,74.65,-8419.777,8284.932,16060.254,-103.463,101.341,132.402,0.335,-0.308,9.31
1494,74.7,-8424.95,8289.999,16053.634,-103.447,101.326,132.868,0.336,-0.308,9.308
1495,74.75,-8430.121,8295.064,16046.99,-103.43,101.31,133.333,0.337,-0.309,9.305
1496,74.8,-8435.292,8300.129,16040.323,-103.413,101.295,133.798,0.337,-0.309,9.303
1497,74.85,-8440.462,8305.193,16033.634,-103.396,101.279,134.263,0.338,-0.31,9.3
1498,74.9,-8445.631,8310.256,16026.92,-103.379,101.264,134.728,0.339,-0.311,9.298
1499,74.95,-8450.799,8315.318,16020.184,-103.362,101.248,135.193,0.339,-0.311,9.295
1500,75.0,-8455.966,8320.38,16013.424,-103.345,101.233,135.658,0.34,-0.312,9.293
1501,75.05,-8461.132,8325.441,16006.641,-103.328,101.217,136.122,0.341,-0.313,9.29
1502,75.1,-8466.298,8330.501,15999.835,-103.311,101.201,136.586,0.342,-0.313,9.288
1503,75.15,-8471.463,8335.56,15993.006,-103.294,101.186,137.051,0.343,-0.314,9.285
1504,75.2,-8476.626,8340.619,15986.154,-103.277,101.17,137.515,0.343,-0.315,9.282
1505,75.25,-8481.789,8345.676,15979.278,-103.259,101.154,137.979,0.344,-0.315,9.28
1506,75.3,-8486.952,8350.733,15972.379,-103.242,101.138,138.443,0.345,-0.316,9.277
1507,75.35,-8492.113,8355.789,15965.457,-103.225,101.122,138.906,0.346,-0.317,9.275
1508,75.4,-8497.273,8360.845,15958.511,-103.208,101.107,139.37,0.346,-0.318,9.272
1509,75.45,-8502.433,8365.899,15951.543,-103.19,101.091,139.833,0.347,-0.318,9.269
1510,75.5,-8507.591,8370.953,15944.551,-103.173,101.075,140.297,0.348,-0.319,9.267
1511,75.55,-8512.749,8376.006,15937.536,-103.155,101.059,140.76,0.349,-0.32,9.264
1512,75.6,-8517.906,8381.058,15930.498,-103.138,101.043,141.223,0.35,-0.32,9.261
1513,75.65,-8523.062,8386.109,15923.437,-103.12,101.027,141.686,0.35,-0.321,9.259
1514,75.7,-8528.217,8391.16,15916.353,-103.103,101.011,142.149,0.351,-0.322,9.256
1515,75.75,-8533.371,8396.21,15909.245,-103.085,100.994,142.611,0.352,-0.323,9.253
1516,75.8,-8538.525,8401.259,15902.115,-103.067,100.978,143.074,0.353,-0.323,9.25
1517,75.85,-8543.677,8406.307,15894.961,-103.05,100.962,143.536,0.354,-0.324,9.248
1518,75.9,-8548.829,8411.354,15887.784,-103.032,100.946,143.999,0.355,-0.325,9.245
1519,75.95,-8553.98,8416.401,15880.584,-103.014,100.93,144.461,0.355,-0.326,9.242
1520,76.0,-8559.129,8421.446,15873.361,-102.997,100.913,144.923,0.356,-0.326,9.239
1521,76.05,-8564.278,8426.491,15866.115,-102.979,100.897,145.384,0.357,-0.327,9.236
1522,76.1,-8569.426,8431.535,15858.846,-102.961,100.88,145.846,0.358,-0.328,9.234
1523,76.15,-8574.573,8436.578,15851.554,-102.943,100.864,146.308,0.359,-0.329,9.231
1524,76.2,-8579.72,8441.621,15844.238,-102.925,100.848,146.769,0.359,-0.329,9.228
1525,76.25,-8584.865,8446.662,15836.9,-102.907,100.831,147.23,0.36,-0.33,9.225
1526,76.3,-8590.01,8451.703,15829.538,-102.889,100.815,147.691,0.361,-0.331,9.222
1527,76.35,-8595.153,8456.743,15822.154,-102.871,100.798,148.152,0.362,-0.332,9.219
1528,76.4,-8600.296,8461.782,15814.746,-102.853,100.781,148.613,0.363,-0.332,9.216
1529,76.45,-8605.437,8466.82,15807.316,-102.834,100.765,149.074,0.364,-0.333,9.214
1530,76.5,-8610.578,8471.857,15799.862,-102.816,100.748,149.534,0.365,-0.334,9.211
1531,76.55,-8615.718,8476.894,15792.385,-102.798,100.731,149.995,0.365,-0.335,9.208
1532,76.6,-8620.857,8481.93,15784.885,-102.78,100.714,150.455,0.366,-0.335,9.205
1533,76.65,-8625.995,8486.965,15777.363,-102.761,100.698,150.915,0.367,-0.336,9.202
1534,76.7,-8631.132,8491.999,15769.817,-102.743,100.681,151.375,0.368,-0.337,9.199
1535,76.75,-8636.268,8497.032,15762.248,-102.724,100.664,151.835,0.369,-0.338,9.196
1536,76.8,-8641.404,8502.064,15754.656,-102.706,100.647,152.294,0.37,-0.339,9.193
1537,76.85,-8646.538,8507.096,15747.042,-102.687,100.63,152.754,0.371,-0.339,9.19
1538,76.9,-8651.672,8512.126,15739.404,-102.669,100.613,153.213,0.372,-0.34,9.187
1539,76.95,-8656.804,8517.156,15731.743,-102.65,100.596,153.673,0.372,-0.341,9.184
1540,77.0,-8661.936,8522.185,15724.06,-102.631,100.579,154.132,0.373,-0.342,9.181
1541,77.05,-8667.066,8527.213,15716.353,-102.613,100.562,154.59,0.374,-0.343,9.178
1542,77.1,-8672.196,8532.24,15708.624,-102.594,100.545,155.049,0.375,-0.343,9.175
1543,77.15,-8677.325,8537.267,15700.871,-102.575,100.527,155.508,0.376,-0.344,9.171
1544,77.2,-8682.453,8542.292,15693.096,-102.556,100.51,155.966,0.377,-0.345,9.168
1545,77.25,-8687.579,8547.317,15685.297,-102.537,100.493,156.424,0.378,-0.346,9.165
1546,77.3,-8692.705,8552.341,15677.476,-102.519,100.475,156.883,0.379,-0.347,9.162
1547,77.35,-8697.83,8557.364,15669.632,-102.5,100.458,157.34,0.38,-0.348,9.159
1548,77.4,-8702.954,8562.386,15661.765,-102.481,100.441,157.798,0.38,-0.348,9.156
1549,77.45,-8708.077,8567.407,15653.875,-102.461,100.423,158.256,0.381,-0.349,9.153
1550,77.5,-8713.2,8572.427,15645.962,-102.442,100.406,158.713,0.382,-0.35,9.15
1551,77.55,-8718.321,8577.447,15638.027,-102.423,100.388,159.171,0.383,-0.351,9.147
1552,77.6,-8723.441,8582.465,15630.068,-102.404,100.371,159.628,0.384,-0.351,9.144
1553,77.65,-8728.56,8587.483,15622.087,-102.385,100.353,160.085,0.385,-0.352,9.141
1554,77.7,-8733.678,8592.499,15614.083,-102.366,100.335,160.542,0.385,-0.353,9.138
1555,77.75,-8738.796,8597.515,15606.055,-102.346,100.318,160.999,0.386,-0.354,9.135
1556,77.8,-8743.912,8602.53,15598.005,-102.327,100.3,161.455,0.387,-0.354,9.132
1557,77.85,-8749.027,8607.544,15589.933,-102.307,100.282,161.912,0.388,-0.355,9.128
1558,77.9,-8754.142,8612.558,15581.837,-102.288,100.264,162.368,0.389,-0.356,9.125
1559,77.95,-8759.255,8617.57,15573.719,-102.269,100.247,162.824,0.39,-0.357,9.122
1560,78.0,-8764.368,8622.581,15565.578,-102.249,100.229,163.28,0.391,-0.358,9.118
1561,78.05,-8769.479,8627.592,15557.414,-102.229,100.211,163.736,0.392,-0.359,9.115
1562,78.1,-8774.59,8632.602,15549.227,-102.21,100.193,164.191,0.393,-0.36,9.112
1563,78.15,-8779.699,8637.61,15541.017,-102.19,100.175,164.647,0.394,-0.36,9.108
1564,78.2,-8784.808,8642.618,15532.785,-102.17,100.157,165.102,0.395,-0.361,9.105
1565,78.25,-8789.915,8647.625,15524.53,-102.151,100.139,165.557,0.396,-0.362,9.102
1566,78.3,-8795.022,8652.631,15516.252,-102.131,100.12,166.012,0.397,-0.363,9.098
1567,78.35,-8800.127,8657.636,15507.951,-102.111,100.102,166.467,0.398,-0.364,9.095
1568,78.4,-8805.232,8662.64,15499.628,-102.091,100.084,166.921,0.399,-0.365,9.091
1569,78.45,-8810.335,8667.644,15491.282,-102.071,100.066,167.376,0.4,-0.366,9.088
1570,78.5,-8815.438,8672.646,15482.913,-102.051,100.047,167.83,0.401,-0.367,9.085
1571,78.55,-8820.54,8677.648,15474.522,-102.031,100.029,168.284,0.402,-0.368,9.081
1572,78.6,-8825.64,8682.648,15466.108,-102.011,100.01,168.738,0.403,-0.369,9.078
1573,78.65,-8830.74,8687.648,15457.671,-101.991,99.992,169.191,0.404,-0.37,9.074
1574,78.7,-8835.838,8692.646,15449.211,-101.97,99.973,169.645,0.405,-0.37,9.071
1575,78.75,-8840.936,8697.644,15440.729,-101.95,99.955,170.098,0.406,-0.371,9.067
1576,78.8,-8846.032,8702.641,15432.224,-101.93,99.936,170.552,0.407,-0.372,9.063
1577,78.85,-8851.128,8707.637,15423.696,-101.909,99.918,171.004,0.408,-0.373,9.06
1578,78.9,-8856.222,8712.632,15415.146,-101.889,99.899,171.457,0.409,-0.374,9.056
1579,78.95,-8861.315,8717.626,15406.573,-101.868,99.88,171.91,0.41,-0.375,9.053
1580,79.0,-8866.408,8722.619,15397.978,-101.848,99.861,172.362,0.411,-0.376,9.049
1581,79.05,-8871.499,8727.611,15389.36,-101.827,99.843,172.815,0.412,-0.377,9.045
1582,79.1,-8876.59,8732.602,15380.719,-101.807,99.824,173.267,0.413,-0.378,9.042
1583,79.15,-8881.679,8737.592,15372.056,-101.786,99.805,173.719,0.414,-0.379,9.038
1584,79.2,-8886.767,8742.582,15363.37,-101.765,99.786,174.17,0.415,-0.38,9.034
