Time Step #,Time(s),"Position (North, metres)","Position (East, metres)",Altitude (metres),"Velocity (North, m/s)","Velocity (East, m/s)","Velocity (Up, m/s)","Acceleration (North, m/s2)","Acceleration (East, m/s2)","Acceleration (Up, m/s2)"
156,7.8,-323.18,322.139,1527.46,-87.323,86.908,-368.702,-11.699,11.592,-37.791
157,7.85,-327.575,326.512,1545.895,-87.899,87.478,-370.594,-11.51,11.402,-37.821
158,7.9,-331.998,330.914,1564.425,-88.466,88.039,-372.486,-11.343,11.234,-37.841
159,7.95,-336.45,335.344,1583.049,-89.027,88.595,-374.378,-11.222,11.112,-37.84
160,8.0,-340.929,339.802,1601.768,-89.585,89.148,-376.269,-11.168,11.057,-37.824
161,8.05,-345.436,344.287,1620.582,-90.144,89.701,-378.157,-11.184,11.073,-37.769
162,8.1,-349.972,348.8,1639.489,-90.708,90.259,-380.041,-11.266,11.154,-37.672
163,8.15,-354.536,353.341,1658.491,-91.278,90.824,-381.918,-11.401,11.289,-37.55
164,8.2,-359.128,357.911,1677.587,-91.856,91.396,-383.789,-11.564,11.453,-37.415
165,8.25,-363.75,362.509,1696.777,-92.442,91.977,-385.653,-11.73,11.618,-37.278
166,8.3,-368.402,367.138,1716.059,-93.036,92.565,-387.511,-11.87,11.758,-37.154
167,8.35,-373.084,371.796,1735.435,-93.634,93.158,-389.363,-11.963,11.851,-37.054
168,8.4,-377.796,376.483,1754.903,-94.234,93.752,-391.213,-11.998,11.885,-36.984
169,8.45,-382.537,381.2,1774.464,-94.832,94.345,-393.06,-11.97,11.856,-36.947
170,8.5,-387.309,385.947,1794.117,-95.427,94.933,-394.907,-11.887,11.773,-36.938
171,8.55,-392.109,390.723,1813.862,-96.015,95.516,-396.753,-11.761,11.645,-36.932
172,8.6,-396.939,395.527,1833.7,-96.596,96.091,-398.6,-11.619,11.502,-36.941
173,8.65,-401.798,400.36,1853.63,-97.17,96.659,-400.448,-11.487,11.369,-36.958
174,8.7,-406.685,405.221,1873.652,-97.739,97.222,-402.296,-11.385,11.265,-36.962
175,8.75,-411.6,410.111,1893.767,-98.306,97.783,-404.144,-11.328,11.207,-36.944
176,8.8,-416.544,415.028,1913.974,-98.872,98.343,-405.989,-11.325,11.203,-36.901
177,8.85,-421.516,419.973,1934.274,-99.441,98.905,-407.83,-11.373,11.251,-36.832
178,8.9,-426.516,424.947,1954.665,-100.014,99.473,-409.667,-11.464,11.342,-36.743
179,8.95,-431.546,429.949,1975.149,-100.593,100.045,-411.499,-11.574,11.453,-36.624
180,9.0,-436.605,434.98,1995.723,-101.177,100.624,-413.324,-11.692,11.571,-36.511
181,9.05,-441.693,440.04,2016.39,-101.767,101.208,-415.145,-11.797,11.676,-36.417
182,9.1,-446.811,445.13,2037.147,-102.36,101.795,-416.962,-11.869,11.748,-36.341
183,9.15,-451.959,450.249,2057.995,-102.955,102.384,-418.776,-11.897,11.776,-36.28
184,9.2,-457.136,455.398,2078.934,-103.549,102.971,-420.588,-11.876,11.754,-36.23
185,9.25,-462.343,460.576,2099.963,-104.14,103.556,-422.398,-11.819,11.696,-36.216
186,9.3,-467.58,465.783,2121.083,-104.727,104.137,-424.209,-11.735,11.61,-36.219
187,9.35,-472.845,471.018,2142.294,-105.309,104.712,-426.02,-11.634,11.508,-36.211
188,9.4,-478.139,476.282,2163.595,-105.886,105.283,-427.831,-11.544,11.416,-36.213
189,9.45,-483.462,481.575,2184.986,-106.46,105.85,-429.641,-11.478,11.349,-36.213
190,9.5,-488.814,486.896,2206.468,-107.032,106.416,-431.45,-11.441,11.311,-36.176
191,9.55,-494.194,492.245,2228.041,-107.604,106.981,-433.256,-11.442,11.311,-36.12
192,9.6,-499.603,497.622,2249.704,-108.178,107.549,-435.058,-11.48,11.349,-36.046
193,9.65,-505.041,503.028,2271.456,-108.755,108.12,-436.857,-11.549,11.418,-35.975
194,9.7,-510.508,508.463,2293.299,-109.337,108.695,-438.652,-11.633,11.503,-35.899
195,9.75,-516.004,513.927,2315.232,-109.922,109.274,-440.442,-11.713,11.582,-35.805
196,9.8,-521.529,519.419,2337.254,-110.512,109.857,-442.229,-11.781,11.65,-35.733
197,9.85,-527.084,524.942,2359.365,-111.103,110.441,-444.013,-11.825,11.694,-35.683
198,9.9,-532.669,530.493,2381.566,-111.694,111.026,-445.795,-11.831,11.701,-35.629
199,9.95,-538.283,536.073,2403.856,-112.285,111.61,-447.574,-11.807,11.676,-35.592
